        count(brand0_.brand_id) as col_0_0_ 
    from
        gomeisp.brand brand0_ limit ?
7834556 DEBUG [2015-06-16 17:46:04]  select count(brand0_.brand_id) as col_0_0_ from gomeisp.brand brand0_ limit 2;  (1 milliseconds)
7834556 DEBUG [2015-06-16 17:46:04]  about to open ResultSet (open ResultSets: 0, globally: 0)
7834556 DEBUG [2015-06-16 17:46:04]  result row: 
7834556 DEBUG [2015-06-16 17:46:04]  about to close ResultSet (open ResultSets: 1, globally: 1)
7834556 DEBUG [2015-06-16 17:46:04]  about to close PreparedStatement (open PreparedStatements: 1, globally: 1)
7834556 DEBUG [2015-06-16 17:46:04]  aggressively releasing JDBC connection
7834556 DEBUG [2015-06-16 17:46:04]  releasing JDBC connection [ (open PreparedStatements: 0, globally: 0) (open ResultSets: 0, globally: 0)]
7834556 DEBUG [2015-06-16 17:46:04]  000523 (00/03/00) - Connection #7 returned (now AVAILABLE)
7834556 DEBUG [2015-06-16 17:46:04]  initializing non-lazy collections
7834556 DEBUG [2015-06-16 17:46:04]  aggressively releasing JDBC connection
7834556 DEBUG [2015-06-16 17:46:04]  Closing JPA EntityManager
7834584 DEBUG [2015-06-16 17:46:04]  Null ModelAndView returned to DispatcherServlet with name 'spring3': assuming HandlerAdapter completed request handling
7834584 DEBUG [2015-06-16 17:46:04]  Successfully completed request
7834619 DEBUG [2015-06-16 17:46:04]  DispatcherServlet with name 'spring3' processing GET request for [/sysadm/suppliers/suppliersList.do]
7834620 DEBUG [2015-06-16 17:46:04]  Mapping [/sysadm/suppliers/suppliersList.do] to HandlerExecutionChain with handler [com.tisson.web.controller.product.SuppliersController@4b8267c7] and 1 interceptor
7834620 DEBUG [2015-06-16 17:46:04]  Last-Modified value for [/sysadm/suppliers/suppliersList.do] is: -1
7834620 DEBUG [2015-06-16 17:46:04]  Invoking request handler method: public org.springframework.web.servlet.ModelAndView com.tisson.web.controller.product.SuppliersController.productList(javax.servlet.http.HttpServletRequest,java.lang.String,javax.servlet.http.HttpServletResponse)
7834620 INFO  [2015-06-16 17:46:04]  jpql:select o from Suppliers o 
7834620 DEBUG [2015-06-16 17:46:04]  Creating new EntityManager for shared EntityManager invocation
7834621 DEBUG [2015-06-16 17:46:04]  opened session at timestamp: 14344479645
7834621 DEBUG [2015-06-16 17:46:04]  about to open PreparedStatement (open PreparedStatements: 0, globally: 0)
7834621 DEBUG [2015-06-16 17:46:04]  opening JDBC connection
7834621 DEBUG [2015-06-16 17:46:04]  000524 (01/03/00) - Connection #8 served
7834621 DEBUG [2015-06-16 17:46:04]  
    select
        suppliers0_.suppliers_id as suppliers1_36_,
        suppliers0_.is_check as is2_36_,
        suppliers0_.suppliers_desc as suppliers3_36_,
        suppliers0_.suppliers_name as suppliers4_36_ 
    from
        gomeisp.suppliers suppliers0_
